Locality,DateBins,Lat.,Long.,D_sum,N_sum,B_sum,R_sum,x_sum,F_sum,Q_sum,K_sum,E_sum,L_sum,n_sum,A_sum,G_sum,I_sum,J_sum,C_sum,O_sum,H_sum,P_sum,T_sum,y_haplos_sum
Altai Autonomous Republic. Ust-Kanski. Altai Mountains. Kaminnaya Cave,5001-5500,50.9126,84.81438333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altai Mountains. Saldyar-1 cemetery,4501-5000,50.55423889,86.59013611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altai Mountains. Yenisey River. left bank of Karasuk tributary. Karasuk III,4501-5000,48.832683,83.909744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Althausen,4001-4500,49.468332,9.744072,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Althausen ,4001-4500,49.468332,9.744072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amur River Basin,6001-6500,45.93,125.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Amur River Basin,6501-7000,46.04,126.30000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Amur River Basin,7001-7500,45.96,125.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Amur River Basin,8001-8500,45.78,126.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Amur River Basin,8501-9000,45.96,125.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amur River Basin,9001-9500,45.71,126.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Amur River Basin,10501-11000,45.946666666666665,125.85666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Amur River Basin,11001-11500,46.01,125.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Andalucia,0-1000,37.4,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalusia. Cueva de los Cuarenta,5501-6000,37.454999,-4.33238,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Andalusia. Cádiz. Chiclana de la Frontera. Loma del Puerco,3501-4000,36.391401,-6.168503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalusia. Cádiz. San Fernando. Campo de Hockey,5501-6000,36.445,-6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalusia. Córdoba. Lucena. Sima del Ángel,4501-5000,37.24,-4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalusia. Granada. Mondújar (Lecrín). Nécropolis de Torna Alta,0-1000,36.9508333,-3.547222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
