+------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+-----------+-----------+----------+----------+----------+---------+----------+----------+---------+-----------+-----------+-----------+-----------+---------+-----------+----------+---------+-----------+-----------+----------+----------------+
|      | CombinedBins                                                                                                                                                                                                                                                                                                                                                                                                                          |       Lat. |         Long. |     I_sum |     F_sum |    E_sum |    A_sum |    Q_sum |   D_sum |    H_sum |    R_sum |   x_sum |     N_sum |     G_sum |     T_sum |     B_sum |   K_sum |     L_sum |    n_sum |   O_sum |     C_sum |     J_sum |    P_sum |   y_haplos_sum |
|   28 | Alaska. Aleutian Islands. Kagamil Island Warm Cave ( 0-1000 )                                                                                                                                                                                                                                                                                                                                                                         |  52.9931   | -169.712      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   29 | Alaska. Aleutian Islands. Umnak Island. Chaluka Midden ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                                  |  52.9884   | -168.821      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   30 | Alaska. Trail Creek ( 9001-9500 )                                                                                                                                                                                                                                                                                                                                                                                                     |  65.79     | -163.41       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   31 | Alaska. western interior. Tochak McGrath. Upper Kuskokwim River ( 0-1000 )                                                                                                                                                                                                                                                                                                                                                            |  62.9512   | -155.595      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   32 | Alberstedt ( 4001-4500 )                                                                                                                                                                                                                                                                                                                                                                                                              |  51.45     |   11.63       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   33 | Albertirsa site 22 ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                                                                      |  47.2547   |   19.6356     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   34 | Albertirsa-Szentmártoni ut ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                                                              |  47.245    |   19.6281     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   35 | Alborz Mountains. near Behshahr. Belt Cave ( 11501-12000 )                                                                                                                                                                                                                                                                                                                                                                            |  35.591    |   53.501      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   36 | Alghero. SS. Aho M. Carru ( 1501-2000 )                                                                                                                                                                                                                                                                                                                                                                                               |  40.5666   |    8.34788    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   37 | Alicante. Alcoi. Llometes ( 5001-5500 )                                                                                                                                                                                                                                                                                                                                                                                               |  38.7025   |   -0.48631    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
